Path,Path_Code,Level,Project,Type,Speech_Time,Notes
Dynamic Leadership,DL,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Dynamic Leadership,DL,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Dynamic Leadership,DL,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Dynamic Leadership,DL,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Dynamic Leadership,DL,2,Understanding Your Leadership Style,Required,5-7 min,Discover Your Leadership Style questionnaire
Dynamic Leadership,DL,2,Understanding Your Communication Style,Required,5-7 min,Discover Your Communication Style questionnaire
Dynamic Leadership,DL,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Dynamic Leadership,DL,3,Negotiate the Best Outcome,Required,5-7 min,Past or upcoming negotiation
Dynamic Leadership,DL,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Dynamic Leadership,DL,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Dynamic Leadership,DL,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Dynamic Leadership,DL,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Dynamic Leadership,DL,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Dynamic Leadership,DL,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Dynamic Leadership,DL,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Dynamic Leadership,DL,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Dynamic Leadership,DL,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Dynamic Leadership,DL,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Dynamic Leadership,DL,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Dynamic Leadership,DL,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Dynamic Leadership,DL,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Dynamic Leadership,DL,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Dynamic Leadership,DL,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Dynamic Leadership,DL,4,Manage Change,Required,5-7 min,Change management plan
Dynamic Leadership,DL,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Dynamic Leadership,DL,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Dynamic Leadership,DL,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Dynamic Leadership,DL,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Dynamic Leadership,DL,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Dynamic Leadership,DL,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Dynamic Leadership,DL,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Dynamic Leadership,DL,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Dynamic Leadership,DL,5,Lead in Any Situation,Required,8-10 min,"6+ months in leadership role, 360° eval"
Dynamic Leadership,DL,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Dynamic Leadership,DL,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Dynamic Leadership,DL,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Dynamic Leadership,DL,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
